2025-09-19 05:52:25,063 - asyncio - DEBUG - Using selector: SelectSelector
2025-09-19 05:52:36,258 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:36,666 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:37,084 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:37,497 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:37,864 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:38,273 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:38,680 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:39,096 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:39,463 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:39,872 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:40,275 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:40,681 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:41,084 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:41,498 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:41,912 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:42,314 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:42,723 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:43,091 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:43,547 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:43,903 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:44,314 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
2025-09-19 05:52:44,724 - watchfiles.main - DEBUG - 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\reddy\\OneDrive\\OnedriveBackup\\Documents\\GitHub\\cloudrun\\AIML\\app.log')}
